step,loss,class_acc,lr,min_lr,weight_decay,grad_norm,test_acc1,test_acc5,test_loss,test_f1,test_auc,test_recall
0,3.3112025260925293,0.03125,0.0,0.0,0.0006000000284984708,,2.1186442375183105,19.06779670715332,3.29365873336792,0.00229042605496943,0.5076016187667847,0.02118644118309021
1,3.3057477474212646,0.03125,0.0,0.0,0.0006000000284984708,0.6925373077392578,1.6949154138565063,19.491525650024414,3.29378080368042,0.002325940877199173,0.5566123127937317,0.016949152573943138
2,3.3113555908203125,0.0546875,3.3519552289362764e-06,3.3519552289362764e-06,0.0006000000284984708,,4.237287998199463,24.152542114257812,3.291926622390747,0.013926412910223007,0.6452931761741638,0.04237288236618042
3,3.291337490081787,0.0625,3.3519552289362764e-06,3.3519552289362764e-06,0.0006000000284984708,0.7049057483673096,10.593220710754395,31.7796630859375,3.2828330993652344,0.04958219453692436,0.731598973274231,0.10593220591545105
4,3.2804903984069824,0.0390625,6.703910457872553e-06,6.703910457872553e-06,0.0006000000284984708,,14.406780242919922,48.30508804321289,3.2398219108581543,0.07083281129598618,0.7971329092979431,0.14406779408454895
5,3.3292484283447266,0.015625,6.703910457872553e-06,6.703910457872553e-06,0.0006000000284984708,0.6778461337089539,19.06779670715332,57.203392028808594,3.157257556915283,0.1128876581788063,0.8499501347541809,0.1906779706478119
6,3.2825562953948975,0.0390625,1.0055866368929856e-05,1.0055866368929856e-05,0.0006000000284984708,,26.694915771484375,54.66101837158203,3.063143253326416,0.1859106421470642,0.8736617565155029,0.2669491469860077
7,3.287074089050293,0.015625,1.0055866368929856e-05,1.0055866368929856e-05,0.0006000000284984708,0.7888165712356567,28.813560485839844,55.50847625732422,2.998806953430176,0.1970527470111847,0.8968787789344788,0.2881355881690979
8,3.3022079467773438,0.015625,1.3407820915745106e-05,1.3407820915745106e-05,0.0006000000284984708,,31.355932235717773,63.559322357177734,2.8474974632263184,0.22512514889240265,0.9124529361724854,0.31355932354927063
9,3.3059444427490234,0.0234375,1.3407820915745106e-05,1.3407820915745106e-05,0.0006000000284984708,0.6825823783874512,38.98305130004883,75.84746551513672,2.5499045848846436,0.30537518858909607,0.9341610074043274,0.38983049988746643
10,3.3224332332611084,0.03125,1.675977728154976e-05,1.675977728154976e-05,0.0006000000284984708,,38.98305130004883,77.54237365722656,2.4901983737945557,0.3099091053009033,0.9338465332984924,0.38983049988746643
11,3.319211959838867,0.046875,1.675977728154976e-05,1.675977728154976e-05,0.0006000000284984708,0.8240574598312378,42.37288284301758,80.50847625732422,2.298501491546631,0.3223715126514435,0.9443573355674744,0.4237288236618042
12,3.322118043899536,0.046875,2.011173273785971e-05,2.011173273785971e-05,0.0006000000284984708,,47.88135528564453,84.32203674316406,2.07930850982666,0.4171120524406433,0.9581067562103271,0.4788135588169098
13,3.287698268890381,0.0546875,2.011173273785971e-05,2.011173273785971e-05,0.0006000000284984708,0.9554459452629089,49.15254211425781,86.01695251464844,1.7865164279937744,0.4309467673301697,0.9631956815719604,0.49152541160583496
14,3.3085455894470215,0.046875,2.346368637518026e-05,2.346368637518026e-05,0.0006000000284984708,,60.593223571777344,91.94915771484375,1.5955955982208252,0.5698252320289612,0.9697063565254211,0.6059321761131287
15,3.292555093765259,0.0234375,2.346368637518026e-05,2.346368637518026e-05,0.0006000000284984708,0.75206059217453,46.610172271728516,84.32203674316406,1.654691219329834,0.39929068088531494,0.9605640769004822,0.4661017060279846
16,3.319317579269409,0.03125,2.681564183149021e-05,2.681564183149021e-05,0.0006000000284984708,,57.62711715698242,91.52542877197266,1.402612328529358,0.5229713320732117,0.9681296348571777,0.5762711763381958
17,3.3074440956115723,0.046875,2.681564183149021e-05,2.681564183149021e-05,0.0006000000284984708,0.8190325498580933,60.169490814208984,91.94915008544922,1.3315637111663818,0.5903055667877197,0.9711472392082214,0.6016949415206909
18,3.284351348876953,0.0546875,3.0167597287800163e-05,3.0167597287800163e-05,0.0006000000284984708,,62.28813934326172,94.06779479980469,1.2255815267562866,0.6086030602455139,0.9772961735725403,0.6228813529014587
19,3.313350200653076,0.0390625,3.0167597287800163e-05,3.0167597287800163e-05,0.0006000000284984708,0.7165766954421997,65.25423431396484,94.06780242919922,1.1749041080474854,0.6359875798225403,0.9769012928009033,0.6525423526763916
20,3.3315937519073486,0.0234375,3.351955456309952e-05,3.351955456309952e-05,0.0006000000284984708,,58.47457504272461,92.37288665771484,1.2480180263519287,0.5563639402389526,0.9749751091003418,0.5847457647323608
21,3.300055980682373,0.03125,3.351955456309952e-05,3.351955456309952e-05,0.0006000000284984708,0.9224506616592407,64.83051300048828,96.18643951416016,1.0243284702301025,0.6454235911369324,0.982628583908081,0.6483050584793091
22,3.3090033531188965,0.0390625,3.687150820042007e-05,3.687150820042007e-05,0.0006000000284984708,,65.67797088623047,94.9152603149414,1.0034300088882446,0.6417260766029358,0.9798428416252136,0.6567796468734741
23,3.3247671127319336,0.0234375,3.687150820042007e-05,3.687150820042007e-05,0.0006000000284984708,0.7491288185119629,68.22034454345703,96.61017608642578,0.9230844974517822,0.6782072186470032,0.9821940660476685,0.6822034120559692
24,3.3000993728637695,0.0234375,4.022346547571942e-05,4.022346547571942e-05,0.0006000000284984708,,67.79661560058594,97.45763397216797,0.8987410068511963,0.6747502684593201,0.9818979501724243,0.6779661178588867
25,3.3155722618103027,0.046875,4.022346547571942e-05,4.022346547571942e-05,0.0006000000284984708,0.7741288542747498,72.03390502929688,97.03389739990234,0.8685332536697388,0.722222089767456,0.9846566915512085,0.7203390002250671
26,3.286120653152466,0.0234375,4.357541911303997e-05,4.357541911303997e-05,0.0006000000284984708,,66.10169982910156,93.64407348632812,1.0969274044036865,0.6526497602462769,0.9742034673690796,0.6567796468734741
27,3.3041205406188965,0.015625,4.357541911303997e-05,4.357541911303997e-05,0.0006000000284984708,0.6461836695671082,66.52542114257812,96.18643951416016,0.9516722559928894,0.6528762578964233,0.9802218675613403,0.6652542352676392
28,3.2944326400756836,0.078125,4.692737275036052e-05,4.692737275036052e-05,0.0006000000284984708,,68.64407348632812,98.30509185791016,0.8039032220840454,0.6799280643463135,0.9814538955688477,0.6864407062530518
29,3.2959253787994385,0.0390625,4.692737275036052e-05,4.692737275036052e-05,0.0006000000284984708,0.7513571381568909,71.18644714355469,97.88136291503906,0.8569209575653076,0.7065609097480774,0.9858921766281128,0.7118644118309021
30,3.2873706817626953,0.0703125,5.0279330025659874e-05,5.0279330025659874e-05,0.0006000000284984708,,73.72881317138672,98.30509185791016,0.6880191564559937,0.7313612699508667,0.9881715774536133,0.7372881174087524
